Label;Category;Country;Rating;Raters;Price;Sugar
Flor de Cana 18-Year;Aged;Nicaragua;7,6;130;NA;8
Flor de Cana 25-Year;Aged;Nicaragua;8,8;26;127,77;
Flor de Cana Anejo Clasico 5-Year;Light;Nicaragua;5,8;16;11,44;0
Flor de Cana Anejo Oro 4-Year;Gold;Nicaragua;8,1;9;NA;
Flor de Cana Black label 5;Aged;Nicaragua;6,2;19;11,32;
Flor de Cana Centenario 21;Aged;Nicaragua;7,4;14;78,98;
Flor de Cana Extra Dry 4;Light;Nicaragua;6,8;25;16;
Flor de Cana Gold 4;Gold;Nicaragua;6,3;27;10,39;
Flor de Cana Gran Reserve 7;Aged;Nicaragua;6,7;103;14,64;0
Foursquare 9-Year Port Cask Finish;Aged;Barbados;8,2;27;NA;0
Foursquare Spiced;Spiced;Barbados;6,7;27;30,79;
Gold of Mauritius Dark;Dark;Mauritius;7;34;NA;
Goslings 151;Overproof;Bermuda;6,9;20;32,86;
Goslings Black Seal;Dark;Bermuda;6,6;155;44,25;14
Goslings Family Reserve Old;Aged;Bermuda;8;67;92,91;15
Goslings Gold;Gold;Bermuda;5,9;15;NA;
Havana Club 15-Year;Aged;Cuba;8;22;191,65;8
Havana Club 3-Year;Light;Cuba;5,6;169;13,24;4
Havana Club 7-Year;Aged;Cuba;6,5;270;22,88;5
Havana Club Anejo Especial;Gold;Cuba;6,2;114;14,99;20
Havana Club Anejo Reserva;Gold;Cuba;6,6;81;27,18;4
Havana Club Barrel Proof;Aged;Cuba;8;9;NA;
Havana Club Blanco;Light;Cuba;4,5;64;24,69;3
Havana Club Ritual Cubano;Gold;Cuba;7,3;21;11,32;
Havana Club Seleccion de Maestros;Aged;Cuba;7,5;121;47,5;3
HSE Black Sheriff;Aged;Martinique;6,8;17;NA;0
HSE Blanc;Light;Martinique;6,7;20;NA;0
HSE VSOP;Aged;Martinique;7,6;23;NA;
J. Bally 7-Year Rhum;Rhum Agricole;Martinique;5,9;9;58,08;
Kaniche Reserve;Aged;Barbados;6,9;16;28,61;15
Kaniche XO;Aged;Barbados;7,7;64;64,96;24
Khukri XXX Coronation;Aged;Nepal;7;12;17,35;
Kilo Kai Spiced;Spiced;Curacao;7,2;30;NA;
Kirk and Sweeney 12-Year;Aged;Dominican Republic;8,2;104;61,07;
Kirk and Sweeney 18-Year;Aged;Dominican Republic;8,5;24;NA;
Kirk and Sweeney 23-Year;Aged;Dominican Republic;8,4;35;NA;
Koloa Dark;Dark;USA;7,5;19;NA;
Kraken Black Spiced;Spiced;Trinidad;6,3;444;15,83;26
La Favorite La Flibuste Rhum;Rhum Agricole;Martinique;9,6;17;NA;10
La Hechicera Extra Anejo;Aged;Colombia;7,8;45;NA;0
La Mauny Blanc Rhum;Rhum Agricole;Martinique;6,2;17;NA;0
La Mauny VSOP;Aged;Martinique;6,6;13;NA;0
La Mauny XO;Aged;Martinique;6,9;12;78,58;0
Lamb's Navy;Dark;Canada;5;50;17,36;4
Lamb's Palm Breeze;Flavored;Canada;4,5;11;NA;
Lamb's White;Light;Canada;2,9;11;NA;
Leblon Light Cachaca;Cachaca;Brazil;6;21;NA;
Legendario Anejo;Aged;Cuba;6,9;27;NA;
Legendario Elixir de Cuba;Gold;Cuba;7;91;16,03;
Lemon Hart 151;Overproof;Guyana;8,3;19;37,4;10
Lemon Hart Original;Gold;Guyana;6,3;11;NA;
Lemon Hart Premium;Gold;Guyana;7,1;14;NA;
Malecon 12-Year;Aged;Panama;6,5;11;32,52;
Malecon 15-Year;Aged;Panama;7,6;15;40,79;
Malecon 18-Year;Aged;Panama;7;16;NA;
Malecon 21-Year;Aged;Panama;7,6;10;68,66;
Malecon Reserva Imperial 25-Year;Aged;Panama;8,2;17;79,63;
Malibu Black;NA;Canada;6;12;NA;
Malibu Coconut;Flavored;Canada;4,6;201;19,55;20
Malteco 10-Year;Aged;Guatemala;6,8;25;38,17;
Malteco 15-Year;Aged;Guatemala;7,5;35;NA;
Matusalem 7-Year;Aged;Dominican Republic;6,1;11;17,17;
Matusalem Clasico;Gold;Dominican Republic;6;31;21,02;
Matusalem Gran Reserva 15-Year;Aged;Dominican Republic;6,5;229;26,47;3
Matusalem Gran Reserva 18;Aged;Dominican Republic;7,6;23;NA;6
Matusalem Gran Reserva 23;Aged;Dominican Republic;7,1;69;50,98;
Matusalem Platino;Light;Dominican Republic;6,6;19;NA;5
Medellin Gran Reserva 12-Year;Aged;Colombia;7,4;16;NA;
Mezan XO Jamaican;Aged;Caribbean;7,6;21;41,2;0
Millonario Reserva Especial 15;Aged;Peru;7,9;150;52,27;42
Millonario XO;Aged;Peru;9;114;89,03;44
Mocambo 20 Art Edition;Aged;Mexico;6,5;20;57,95;
Montecristo 12-Year;Aged;Guatemala;7,8;11;NA;14
Mount Gay 1703 Old Cask;Aged;Barbados;8,1;60;NA;0
Mount Gay Black Barrel;Dark;Barbados;6,7;84;41,41;0
Mount Gay Eclipse;Gold;Barbados;6,5;127;16,08;0
Mount Gay Eclipse Black;NA;Barbados;7,5;20;NA;0
Mount Gay Eclipse Silver;Light;Barbados;5,8;11;22;0
Mount Gay XO Extra Old;Aged;Barbados;7,8;189;44,71;0
Mulata Anejo Gran Reserva;Aged;Cuba;6,2;14;NA;
Myerss Original Dark;Dark;Jamaica;5,9;122;NA;
Negrita Dark;Dark;Martinique;3,2;43;NA;3
Neisson Reserve Speciale Rhum;Rhum Agricole;Martinique;7;11;60,34;
Neisson Rhum Agricole Blanc Rhum;Rhum Agricole;Martinique;8,1;18;NA;
Neisson White 50;Light;Martinique;7,4;14;NA;
New Grove Old Tradition 8-Year;Aged;Mauritius;6,7;9;NA;
Newfoundland Screech;Gold;Canada;5,9;20;NA;
Ocumare 12-Year;Aged;Venezuela;7,3;10;NA;7
Old Brigand Black Label;Aged;Barbados;7,1;12;NA;0
Old Distiller 12-Year;Aged;Santo Domingo;7,8;9;46,4;
Old J Spiced;Spiced;UK;7,6;13;NA;
Old Monk Supreme;Aged;India;6,5;17;NA;3
Old Monk XXX;Gold;India;5,6;35;NA;
Old New Orleans Amber;Aged;USA;6,2;11;NA;
Old Nick Blanc;Light;Martinique;2,1;14;16,59;0
Old Vatted Demerara (OVD) Dark;Dark;Scotland;5,8;9;NA;
Olivers Exquisito 1985 Vintage Solera;Aged;Dominican Republic;7,9;13;156,8;
Olivers Exquisito 1990 Vintage Solera;Aged;Dominican Republic;8,5;10;NA;
Opthimus 15-Year;Aged;Dominican Republic;6,9;35;41,69;29
Opthimus 18-Year;Aged;Dominican Republic;7,3;17;50,81;
Opthimus 21-Year;Aged;Dominican Republic;8,3;15;62,72;
Opthimus 25-Year;Aged;Dominican Republic;8,7;35;76,43;35
Oronoco Fazenda Reserva;Light;Brazil;7,3;16;NA;
Pampero Anejo Seleccion 1938;Aged;Venezuela;5,9;15;NA;12
Pampero Aniversario;Aged;Venezuela;6,9;89;24,04;16
Pampero Aniversario Reserva Exclusiva;Aged;Venezuela;7,3;146;NA;12
Pampero Especial;Aged;Venezuela;5,4;39;NA;0
Panama Red Overproof;Overproof;Panama;7,2;11;NA;
Papas Pilar Blonde;NA;USA;7;14;NA;
Papas Pilar Dark;Aged;USA;8,1;47;67,18;14
Pink Pigeon Original;NA;Mauritius;6,5;22;NA;
Pitu Light Cachaca;Cachaca;Brazil;3,7;10;NA;
Plantation 3 Stars Artisanal;Light;Caribbean;7,6;61;NA;12
Plantation Barbados 2000;Aged;Caribbean;7,4;22;NA;
Plantation Barbados 5-Year;Aged;Caribbean;7,3;130;NA;
Plantation Barbados XO 20th Anniversary;Aged;Caribbean;8,5;58;71;24
Plantation Gran Anejo Guatemala;Aged;Caribbean;7,2;58;37,11;19
Plantation Grenada 2004;Aged;Caribbean;7,6;10;NA;
Plantation Guatemala XO Extra Old Reserve;Aged;Caribbean;8,4;16;NA;
Plantation Jamaica 2000;Aged;Caribbean;6,6;21;46,45;17
Plantation Jamaica 2001;Aged;Caribbean;7,6;28;NA;
Plantation Original Dark;Dark;Caribbean;6,6;31;NA;
Plantation Panama 2000;Aged;Caribbean;7,1;10;NA;
Plantation Panama 2002;Aged;Caribbean;7,8;16;NA;18
Plantation Pineapple Stiggins Fancy;Flavored;Caribbean;7,8;38;NA;
Plantation St. Lucia 2003;Aged;Caribbean;8,1;21;49,06;
Plantation Trinidad 2001;Aged;Caribbean;7,5;13;NA;
Plantation Trinidad Overproof;Overproof;Caribbean;6,3;15;NA;
Plantation XO 20th Anniversary;Aged;Caribbean;8,7;340;61,85;
Presidente 15-Year;Aged;Dominican Republic;8,2;23;38,27;
Presidente 23-Year;Aged;Dominican Republic;7,8;33;68,17;47
Prichards Fine;Aged;USA;7,3;14;52,82;0
Punta Cana Esplendido;Aged;Dominican Republic;7,8;21;NA;
Punta Cana XOX;Aged;Dominican Republic;8,6;27;45,91;23
Pussers British Navy;Aged;British Virgin Isles;7,2;123;25,98;20
Pussers British Navy 15-Year;Aged;British Virgin Isles;7,9;66;56,22;28
Pussers Gunpowder Proof;Overproof;British Virgin Isles;6,9;10;41,81;7
Pussers Overproof;Overproof;British Virgin Isles;7,7;16;31,35;
Pussers Red Label;Gold;British Virgin Isles;7,2;12;NA;6
Pyrat Cask 1623;Aged;Anguilla;8,7;33;285,93;
Pyrat Pistol;Gold;Anguilla;6,5;11;NA;29
Pyrat XO;Aged;Anguilla;6,4;411;21,71;24
Quorhum 12-Year;Aged;Dominican Republic;6,9;9;NA;
Quorhum 15-Year;Aged;Dominican Republic;7,9;14;NA;
Quorhum 23-Year;Aged;Dominican Republic;8,1;50;66,78;46
Quorhum 30-Year;Aged;Dominican Republic;9,2;99;86,14;34
Rebellion Spiced;Spiced;Caribbean;7,1;11;NA;
Red Leg Spiced;Spiced;Caribbean;7,1;24;NA;17
Rhum du Pre Labat 59 Rhum;Rhum Agricole;Guadeloupe;8,3;20;53,77;
Rhum JM Blanc Rhum;Rhum Agricole;Martinique;6,7;15;NA;0
Rhum JM Vieux VSOP;Aged;Martinique;6,7;18;NA;0
Rhum JM XO Rhum;Rhum Agricole;Martinique;7,1;30;NA;0
Richland  Single Estate Old Georgia;Gold;USA;8,1;13;NA;
Riviere du Mat Grande Reserve;Aged;Reunion;7,4;10;NA;
RL Seale 10-Year;Aged;Barbados;7,7;84;NA;0
Rum Nation Barbados 10-Year 2014;Aged;Italy;6,6;13;NA;14
Rum Nation Barbados Anniversary 12-Year;Aged;Italy;8,4;10;93,31;
Rum Nation Caroni 1998;Aged;Italy;7,3;11;NA;12
Rum Nation Demerara Solera No 14;Spiced;Italy;7,2;13;NA;21
Rum Nation Panama 21-Year;Aged;Italy;8,8;19;NA;20
Rum SixtySix Family Reserve;Aged;Barbados;7,2;13;55,09;
Rumbullion Spiced;Spiced;Caribbean;8;26;NA;
RumChata Cream;Light;USA;7,2;22;NA;
Ryoma 7-Year;Aged;Japan;5,6;11;74,58;
Sailor Jerry Spiced;Spiced;US Virgin Islands;6,3;261;20,91;
Saint James Blanc 50;Light;Martinique;6,3;13;NA;
Saint James Cuvee 1765;Aged;Martinique;5,7;9;NA;3
Saint James Hors dAge;Aged;Martinique;6,7;12;NA;
Saint James Imperial Blanc;Light;Martinique;5,4;10;NA;
Saint James Royal Ambre;Gold;Martinique;5,8;44;NA;
Santa Teresa 1796;Aged;Venezuela;7,7;193;31,24;
Santa Teresa Gran Reserva;Gold;Venezuela;6,4;19;15,91;
Santa Teresa Gran Reserva Linaje;Aged;Venezuela;7,1;10;NA;
Santa Teresa Rhum Orange Liqueur;NA;Venezuela;7;11;NA;
Santa Teresa Selecto;Aged;Venezuela;7,4;15;NA;
Santiago de Cuba 11-Year;Aged;Cuba;8,3;22;NA;
Santiago de Cuba 20-Year;Aged;Cuba;8,6;9;155,64;6
Santiago de Cuba Anejo;Gold;Cuba;7,5;36;11,62;0
Shellback Silver;Spiced;USA;6,3;13;NA;
Shellback Spiced;Spiced;USA;6,3;17;NA;
Six Saints Gold;Gold;Grenada;6,7;17;NA;
Skipper Dark;Aged;Guyana;6,8;14;26,25;
Skotlander Spirits Handcrafted I;Aged;Denmark;7,8;10;NA;0
Smith and Cross Navy Strength;Aged;Jamaica;7,4;59;NA;
St. Nicholas Abbey 10-Year;Aged;Barbados;8,2;10;NA;
St. Nicholas Abbey 15-Year;Aged;Barbados;9,3;10;NA;0
Stroh 60;NA;Austria;4,2;9;NA;
Stroh Original 80;NA;Austria;3,7;49;NA;
Sugar Island spiced;Spiced;USA;5,2;9;NA;
Summum 12-Year;Aged;Trinidad;6,8;18;NA;
Sunset Captain Bligh Golden;Gold;St. Vincent;7,8;10;NA;
Tanduay Dark;Aged;Philippines;6,7;9;NA;
Taylors Velvet Falernum;Flavored;Barbados;6,6;9;NA;
The Duppy Share Caribbean;Aged;Caribbean;6,7;14;36,62;
The Real McCoy 12-Year;Aged;Barbados;7,5;19;NA;0
The Scarlet Ibis Gold;Gold;Trinidad;7,8;15;55,37;
Thomas Tew Authentic;Gold;USA;7,9;14;NA;
Tommy Bahama Golden Sun;Gold;Barbados;5,8;13;NA;
Tommy Bahama White Sands;Light;Barbados;6,5;10;NA;
Trigo Reserva Aneja;Aged;Puerto Rico;7,2;9;61,21;
Trois Rivires Blanc Rhum;Rhum Agricole;Martinique;6,3;30;NA;
Trois Rivires VSOP;Aged;Martinique;6,6;13;NA;
UNHIQ XO;Aged;Dominican Republic;9,2;31;117,41;
Varadero Aejo 7-Year;Aged;Cuba;6,5;21;NA;
Viejo de Caldas 3-Year;Gold;Colombia;5,4;12;13,01;0
Vizcaya VXOP 21;Aged;Dominican Republic;8,1;74;60,95;28
Westerhall Plantation;Gold;Grenada;7,5;11;40,46;8
Whalers Original Dark;Dark;USA;7;12;27,51;
Woods 100 Old Navy;Dark;Guyana;7;20;NA;
Wray & Nephew White Overproof;Overproof;Jamaica;6,6;36;33,1;
Zacapa 23 Black Label;Aged;Guatemala;9,1;14;NA;44
Zacapa 23 Solera;Aged;Guatemala;7,7;687;46,4;30
Zacapa 30 Aniversario;Aged;Guatemala;9;29;NA;
Zacapa Centenario 15;Aged;Guatemala;7,3;64;63,42;
Zacapa Centenario 23;Aged;Guatemala;8,9;23;NA;38
Zacapa Etiqueta Negra;Aged;Guatemala;8,1;34;92,46;
Zacapa Reserva Limitada 2013;Aged;Guatemala;8;14;85,65;17
Zacapa Reserva Limitada 2014;Aged;Guatemala;7,9;35;NA;
Zacapa Reserva Limitada 2015;Aged;Guatemala;8,3;14;148,91;
Zacapa Straight from the Cask Special Edition;Aged;Guatemala;9,3;26;NA;
Zacapa XO;Aged;Guatemala;8,8;265;86,76;26
Zafra Master Reserve 21;Aged;Panama;8,5;84;54,82;
Zaya Gran Reserva;Aged;Trinidad;7,7;281;52,79;20
